开始日期,结束日期,广告组合名称,货币,广告活动名称,广告组名称,零售商,投放,匹配类型,客户搜索词,展示量,点击量,点击率,每次点击成本,花费,七天总销售额,广告投入产出比总计,总广告投资回报率,七天总订单数,七天总销售量,七天的转化率,七天内单个商品广告销售量,七天内其他单个商品销售量,七天内广告单个产品销售额,七天内其他单个产品销售额
2025-05-24,2025/5/24,Guard G02R,USD,Guard G02R product targeting 1 cage,TU,Amazon,"asin=""B0BVHCZ133""",-,b0bvhcz133,10,1,0.1,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/20,No Portfolio,USD,Wrench定位,W03,Amazon,"asin=""B0C5MBNYDR""",-,b0c5mbnydr,431,8,0.018561485,0.46,3.68,21.76,16.91%,5.91,3,3,0.375,3,0,21.76,0
2025-05-14,2025/5/14,Guard G05R,USD,Guard G05R producting target 1 cage,TU,Amazon,"asin=""B0BVH8P861""",-,b0bvh8p861,2,1,0.5,0.8,0.8,0,,0,0,0,0,0,0,0,0
2025-05-20,2025/5/20,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W12,Amazon,"asin=""B0C5MBNYDR""",-,b0c5mbnydr,7,1,0.142857143,0.56,0.56,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Escutcheon,USD,"3/4"" Chrome Escutcheon定位",2 Pack,Amazon,"asin=""B0C7H2DT4K""",-,sprinkler head protector,2,1,0.5,0.08,0.08,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Carpet CCLS5C,USD,Carpet CCLS5C product targeting main N chemical n real extractor N potable N china extractor,CCLS1C原来 CCS5C CCLS5C竞品 Ripclean Hi Detail,Amazon,"asin=""B0CH817G11""",-,b0ch817g11,4,1,0.25,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,Carpet CCLS5C,USD,Carpet CCLS5C product targeting main N chemical n real extractor N potable N china extractor,CCLS1C原来 CCS5C CCLS5C竞品 Ripclean Hi Detail,Amazon,"asin=""B0CKR5QKR4""",-,b0ckr5qkr4,3,1,0.333333333,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/10,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W06,Amazon,"asin=""B0CKTZYPDT""",-,b0cktzypdt,90,2,0.022222222,0.25,0.5,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W06,Amazon,"asin=""B0CKTYLXDG""",-,b0cktylxdg,1,1,1,0.39,0.39,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/5,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W06,Amazon,"asin=""B0CKTXHLWZ""",-,b0cktxhlwz,7,1,0.142857143,0.39,0.39,0,,0,0,0,0,0,0,0,0
2025-05-15,2025/5/15,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W10,Amazon,"asin=""B0CKTYWFD9""",-,b0cktywfd9,1,1,1,0.35,0.35,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C06,Amazon,"asin=""B0CKTZYPDT""",-,b0cktzypdt,2,1,0.5,0.3,0.3,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C06,Amazon,"asin=""B0CKTXXQY9""",-,b0cktxxqy9,2,1,0.5,0.39,0.39,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C06,Amazon,"asin=""B0CKTXKV49""",-,b0cktxkv49,1,1,1,0.39,0.39,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C06,Amazon,"asin=""B0BF43JFC6""",-,b0bf43jfc6,3,1,0.333333333,0.32,0.32,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/5,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W02,Amazon,"asin=""B0CKTXHLWZ""",-,b0cktxhlwz,4,1,0.25,0.26,0.26,0,,0,0,0,0,0,0,0,0
2025-05-21,2025/5/21,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W12,Amazon,"asin=""B0993K7TPM""",-,b0993k7tpm,4,1,0.25,0.35,0.35,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W12,Amazon,"asin=""B0CKTZYPDT""",-,b0cktzypdt,48,2,0.041666667,0.42,0.84,36.66,2.29%,43.64,1,1,0.5,1,0,36.66,0
2025-05-16,2025/5/16,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W12,Amazon,"asin=""B0CKTXKV49""",-,b0cktxkv49,2,1,0.5,0.42,0.42,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Escutcheon,USD,"3/4"" Chrome Escutcheon定位",6 Pack,Amazon,"asin=""B0CKTZYPDT""",-,b0cktzypdt,4,1,0.25,0.2,0.2,24.22,0.83%,121.1,1,1,1,1,0,24.22,0
2025-05-07,2025/5/7,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C12,Amazon,"asin=""B0CKTVKTL2""",-,b0cktvktl2,2,1,0.5,0.39,0.39,88.65,0.44%,227.31,1,3,1,3,0,88.65,0
2025-05-19,2025/5/19,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C12,Amazon,"asin=""B0CKTZYPDT""",-,b0cktzypdt,6,1,0.166666667,0.3,0.3,29.55,1.02%,98.5,1,1,1,1,0,29.55,0
2025-05-16,2025/5/16,Escutcheon,USD,1/2 Chrome Escutcheon定位,SE2C12,Amazon,"asin=""B0CKTXXQY9""",-,b0cktxxqy9,4,1,0.25,0.39,0.39,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/14,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0CNC4F6HN""",-,b0cnc4f6hn,50,4,0.08,1.22,4.88,35.2,13.86%,7.21,2,2,0.5,0,2,0,35.2
2025-05-02,2025/5/20,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0CNBVDQ3K""",-,b0cnbvdq3k,83,4,0.048192771,1.0675,4.27,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/4/30,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0CNBVDQ3K""",-,sprinkler splash guard shields,7,1,0.142857143,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/26,Guard G06W,USD,Guard G06W product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0CNBVDQ3K""",-,b0cnbvdq3k,20,3,0.15,0.7,2.1,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEC02 SEC12 SEC06 Phrase,Amazon,fire sprinkler head escutcheons,PHRASE,"1/2"" fire sprinkler head escutcheon cover plate",2,1,0.5,0.36,0.36,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEC02 SEC12 SEC06 Phrase,Amazon,fire sprinkler escutcheons,PHRASE,1/2 in. recessed fire sprinkler escutcheon in white,1,1,1,0.61,0.61,18.85,3.24%,30.9,1,1,1,1,0,18.85,0
2025-05-13,2025/5/27,Carpet CCLS5C,USD,Carpet CCLS5C product targeting main N chemical n real extractor N potable N china extractor,CCLS5C HTROTU,Amazon,"asin=""B0CZ97WXQJ""",-,b0cz97wxqj,11,2,0.181818182,0.4,0.8,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W06,Amazon,"asin=""B0CKTX1729""",-,b0cktx1729,2,1,0.5,0.26,0.26,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/4/30,No Portfolio,USD,Wrench定位,W03,Amazon,"asin=""B0D4LRJ95R""",-,b0d4lrj95r,11,1,0.090909091,0.4,0.4,0,,0,0,0,0,0,0,0,0
2025-05-23,2025/5/23,No Portfolio,USD,Wrench定位,W03,Amazon,"asin=""B0D7HKMLM6""",-,b0d7hkmlm6,6,1,0.166666667,0.3,0.3,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Escutcheon,USD,1/2 White Escutcheon 定位,SE2W02,Amazon,"asin=""B0CKTX1729""",-,b0cktx1729,3,1,0.333333333,0.26,0.26,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Guard G05W02 4 6 8,USD,Guard G05W02 Display product 1,HT,Amazon,"asin=""B0D17NSJ7M""",-,b0d17nsj7m,7,1,0.142857143,2.56,2.56,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0D17MYG1P""",-,b0d17myg1p,25,2,0.08,1.06,2.12,27.07,7.83%,12.77,1,1,0.5,0,1,0,27.07
2025-05-20,2025/5/20,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0D17MYG1P""",-,sprinkler donut guards,13,1,0.076923077,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/13,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0D17NJZZS""",-,b0d17njzzs,11,1,0.090909091,1.17,1.17,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Guard G06W,USD,Guard G06W product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0D17MYG1P""",-,b0d17myg1p,6,1,0.166666667,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/8,Guard G06W,USD,Guard G06W product targeting 1 cage,Lenvendor Yingsi,Amazon,"asin=""B0D17NJZZS""",-,b0d17njzzs,12,2,0.166666667,0.7,1.4,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/3,Carpet CCLS5C,USD,Carpet CCLS5C product targeting main N chemical n real extractor N potable N china extractor,CCS1C 单扒头,Amazon,"asin=""B0D1Y6737G""",-,b0d1y6737g,7,2,0.285714286,0.4,0.8,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Adapter,USD,Adapter Key Words,BHA2520,Amazon,fire hydrant hose adapter,EXACT,fire hydrant to hose adapter,5,1,0.2,0.47,0.47,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Adapter,USD,Adapter Key Words,BHA2520,Amazon,fire hydrant adapter,EXACT,fire hydrant adapter,5,1,0.2,0.47,0.47,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/21,Guard G05W10 05,USD,Guard G05W05 Display product 1,HT,Amazon,"asin=""B0D9PSQVC9""",-,b0d9psqvc9,39,2,0.051282051,0.945,1.89,0,,0,0,0,0,0,0,0,0
2025-05-20,2025/5/20,Guard G06W,USD,Guard G06W product targeting 1 cage,HT,Amazon,"asin=""B0D9PSQVC9""",-,b0d9psqvc9,18,1,0.055555556,0.7,0.7,75.54,0.93%,107.91,1,2,1,2,0,75.54,0
2025-05-27,2025/5/27,Guard G02R75,USD,Guard G02R75 product targeting 1 cage,HT,Amazon,"asin=""B0D9PSQVC9""",-,b0d9psqvc9,5,1,0.2,0.63,0.63,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/19,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Words Phrase,词根词长 sprinkler head+,Amazon,sprinkler head guard,PHRASE,happy tree 2 pack white fire sprinkler head guard cover,3,2,0.666666667,0.31,0.62,31.72,1.95%,51.16,2,2,1,2,0,31.72,0
2025-05-13,2025/5/24,Guard G06W,USD,Guard G06W Words Exact 2,词根词长 sprinkler head+,Amazon,sprinkler head protectors,EXACT,sprinkler head protector,60,2,0.033333333,1.4,2.8,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Carpet CCS3,USD,Carpet CCS3 Key words Phrase词组,Others,Amazon,extractor,PHRASE,detail king extractor hand tool adapter hose,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-25,2025/5/25,Carpet CCS3,USD,Carpet CCS3 Key words Phrase词组,Others,Amazon,extractor,PHRASE,extractor tool,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/7,Carpet CCS3,USD,Carpet CCS3 Key words Phrase词组,Others,Amazon,extractor,PHRASE,extractor tool head vacuum for 15,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-27,2025/5/27,Carpet CCS3,USD,Carpet CCS3 Key words Phrase词组,Others,Amazon,extractor,PHRASE,hand extractor tool hose assembly,3,1,0.333333333,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Carpet CCS3,USD,Carpet CCS3 Key words Phrase词组,Others,Amazon,extractor,PHRASE,shop vac extractor attachment 1.5inch,2,1,0.5,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-16,2025/5/16,Carpet CCS1C,USD,Carpet CCS1C Exact Words 2,Others,Amazon,extraction tool for shop vac,EXACT,extraction tool for shop vac,1,1,1,0.58,0.58,0,,0,0,0,0,0,0,0,0
2025-05-10,2025/5/10,Carpet CCS1C,USD,Carpet CCS1C Exact Words 2,Others,Amazon,extraction tool for shop vac,EXACT,extraction tools for shop vac,2,1,0.5,0.53,0.53,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/28,Carpet CCS1C,USD,Carpet CCS1C Exact Words 2,Others,Amazon,extractor tip for shop vac,EXACT,extractor tip for shop vac,8,5,0.625,0.52,2.6,0,,0,0,0,0,0,0,0,0
2025-05-25,2025/5/25,Carpet CCS1C,USD,Carpet CCS1C Exact Words 2,Others,Amazon,extractor for vacuum,EXACT,extractor vacuum,5,1,0.2,0.58,0.58,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/2,Carpet CCS5C,USD,Carpet CCS5C Exact Key words 1,Head,Amazon,shopvac attachments,EXACT,shopvac attachment,1,1,1,0.27,0.27,0,,0,0,0,0,0,0,0,0
2025-05-19,2025/5/19,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8 Words Phrase,最基础互补词 sprinkler head or fire sprinkler or fire sprinkler head,Amazon,sprinkler head,PHRASE,protector for sprinkler head white ceiling,1,1,1,0.3,0.3,16.07,1.87%,53.57,1,1,1,1,0,16.07,0
2025-05-05,2025/5/5,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,sprinklers cover plates,PHRASE,ceiling sprinkler cover plate,3,1,0.333333333,0.5,0.5,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,ring sprinkler,PHRASE,ring sprinkler,5,1,0.2,1,1,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,fire sprinkler heads covers,PHRASE,home ceiling fire sprinkler head covers replacement,1,1,1,0.5,0.5,29.55,1.69%,59.1,1,1,1,1,0,29.55,0
2025-05-01,2025/5/27,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C02,Amazon,sprinklers cover plates,EXACT,sprinkler cover plate,7,2,0.285714286,0.75,1.5,22.76,6.59%,15.17,1,2,0.5,2,0,22.76,0
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C02,Amazon,fire sprinkler heads covers,EXACT,fire sprinkler head cover,3,1,0.333333333,0.5,0.5,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Escutcheon,USD,White Escutcheon Manual Exact 1/2,SE2W12,Amazon,sprinkler head covers ceiling,EXACT,sprinkler head covers ceiling,3,1,0.333333333,0.9,0.9,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,viking sprinkler escutcheon,PHRASE,viking sprinkler escutcheon,2,1,0.5,0.5,0.5,29.98,1.67%,59.96,1,2,1,2,0,29.98,0
2025-05-22,2025/5/24,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinklers cover plates,PHRASE,ceiling sprinkler cover plate,19,3,0.157894737,0.926666667,2.78,0,,0,0,0,0,0,0,0,0
2025-05-27,2025/5/27,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,fire sprinklers head,PHRASE,fire sprinkler head cap,3,1,0.333333333,0.93,0.93,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/11,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,fire sprinklers head,PHRASE,fire sprinkler head escutcheon plate,2,1,0.5,0.5,0.5,0,,0,0,0,0,0,0,0,0
2025-05-24,2025/5/24,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler escutcheons,PHRASE,fire sprinkler escutcheon white,1,1,1,0.5,0.5,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/22,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler ceiling cover,PHRASE,sprinkler ceiling cover,2,1,0.5,0.5,0.5,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/28,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,sprinkler cover plate,PHRASE,ceiling sprinkler cover plate,5,2,0.4,0.77,1.54,14.99,10.27%,9.73,1,1,0.5,1,0,14.99,0
2025-05-25,2025/5/25,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEW02 replace SEC06,Amazon,home sprinkler cover,PHRASE,home sprinkler cover,2,1,0.5,1,1,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/22,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SEC02 SEC12 SEC06 Phrase,Amazon,sprinkler head escutcheon,PHRASE,sprinkler head escutcheon plate,1,1,1,0.2,0.2,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/22,No Portfolio,USD,Fire sprinkler head wrench manual,W03 Exact,Amazon,fire sprinkler wrenches,EXACT,fire sprinkler wrench,16,4,0.25,0.81,3.24,31.82,10.18%,9.82,2,2,0.5,1,1,9.55,22.27
2025-05-19,2025/5/19,Guard G05W02 4 6 8,USD,Guard G05W02 4 6 8  ABA Exact,Fire sprinkler covers,Amazon,fire sprinkler covers,EXACT,fire sprinkler covers,1,1,1,1.5,1.5,27.07,5.54%,18.05,1,1,1,0,1,0,27.07
2025-05-13,2025/5/13,Escutcheon,USD,"1/2"" Chrome Escutcheon Manual Exact",SE2C12,Amazon,fire sprinkler covers,EXACT,fire sprinkler covers,33,1,0.03030303,0.7,0.7,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/3,No Portfolio,USD,Escutcheon White words Phrase,Escutcheon White words Phrase,Amazon,escutcheon,PHRASE,happy tree store 1/2 escutcheons,3,1,0.333333333,0.1,0.1,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,No Portfolio,USD,Escutcheon White words Phrase,Escutcheon White words Phrase,Amazon,escutcheon,PHRASE,white escutcheon plate 1/2 inch,2,1,0.5,0.04,0.04,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/9,Nozzle,USD,Nozzle Plastic 首页首位 Exact key words,"2""",Amazon,fire hose nozzle,EXACT,fire hose nozzle,16,3,0.1875,1.186666667,3.56,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/26,Nozzle,USD,Nozzle Plastic 首页首位 Exact key words,"2""",Amazon,2 inch fire hose nozzle,EXACT,2 inch fire hose nozzle,11,3,0.272727273,1.05,3.15,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Nozzle,USD,Nozzle Plastic 首页首位 Exact key words,"1"" & 1.5""",Amazon,fire hose nozzle,EXACT,fire hose and nozzle,1,1,1,1.55,1.55,0,,0,0,0,0,0,0,0,0
2025-05-03,2025/5/29,Nozzle,USD,Nozzle Plastic 首页首位 Exact key words,"1"" & 1.5""",Amazon,fire hose nozzle,EXACT,fire hose nozzle,589,16,0.027164686,0.725,11.6,95.69,12.12%,8.25,5,6,0.3125,3,3,45.57,50.12
2025-05-14,2025/5/14,Nozzle,USD,Nozzle Plastic 首页首位 Exact key words,"1"" & 1.5""",Amazon,fire hose nozzle,EXACT,fire hose nozzles,12,2,0.166666667,0.625,1.25,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/18,Adapter,USD,Adapter 首页首位 Eaxt words,Adapter 首页首位,Amazon,fire hydrant adapter,EXACT,fire hydrant adapter,280,10,0.035714286,0.398,3.98,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Adapter,USD,Adapter 首页首位 Eaxt words,Adapter 首页首位,Amazon,fire hydrant hose adapter,EXACT,fire hydrant hose adapter,15,1,0.066666667,0.38,0.38,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/13,Adapter,USD,Adapter 首页首位 Eaxt words,Adapter 首页首位,Amazon,fire hose adapter,EXACT,fire hose adapter,8,1,0.125,0.38,0.38,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/24,Adapter,USD,Adapter 首页首位 Eaxt words,Adapter 首页首位,Amazon,hydrant adapter,EXACT,hydrant adapter,858,10,0.011655012,0.562,5.62,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/27,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CKQR5YND""",-,b0ckqr5ynd,4650,54,0.011612903,0.57,30.78,252.61,12.18%,8.21,13,13,0.240740741,9,4,158.85,93.76
2025-05-06,2025/5/6,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CKQR5YND""",-,extractor tool for shop vac,2,1,0.5,0.3,0.3,0,,0,0,0,0,0,0,0,0
2025-05-20,2025/5/20,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CKR7KLTF""",-,b0ckr7kltf,9,1,0.111111111,0.75,0.75,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/11,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CKQNLM4P""",-,b0ckqnlm4p,17,2,0.117647059,0.75,1.5,20.69,7.25%,13.79,1,1,0.5,0,1,0,20.69
2025-04-30,2025/4/30,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CKR5QKR4""",-,b0ckr5qkr4,12,1,0.083333333,0.78,0.78,25.99,3.00%,33.32,1,1,1,0,1,0,25.99
2025-05-03,2025/5/24,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0B5JV4515""",-,b0b5jv4515,782,16,0.020460358,0.5975,9.56,131.4,7.28%,13.74,7,7,0.4375,5,2,87.02,44.38
2025-05-04,2025/5/4,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0B5JV4515""",-,carpet shampoo accessories,1,1,1,0.3,0.3,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/26,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0BCVC9HY5""",-,b0bcvc9hy5,1,1,1,0.6,0.6,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/5,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCS5C 竞品,Amazon,"asin=""B0CCVGQLCQ""",-,b0ccvgqlcq,19,2,0.105263158,0.75,1.5,0,,0,0,0,0,0,0,0,0
2025-05-19,2025/5/19,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCLS5C竞品,Amazon,"asin=""B0CS5ZPLT5""",-,b0cs5zplt5,10,1,0.1,0.6,0.6,0,,0,0,0,0,0,0,0,0
2025-05-12,2025/5/12,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,CCLS5C竞品,Amazon,"asin=""B0DDPT77GK""",-,b0ddpt77gk,10,1,0.1,0.54,0.54,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/7,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,单扒头,Amazon,"asin=""B0D7T8Z71B""",-,b0d7t8z71b,3,1,0.333333333,0.75,0.75,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/27,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,Ripclean Hidetail,Amazon,"asin=""B0D915J228""",-,b0d915j228,93,3,0.032258065,0.56,1.68,0,,0,0,0,0,0,0,0,0
2025-05-17,2025/5/21,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,同一卖家几百个品牌,Amazon,"asin=""B0D9MLJ1CG""",-,b0d9mlj1cg,14,2,0.142857143,0.39,0.78,0,,0,0,0,0,0,0,0,0
2025-05-09,2025/5/9,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,同一卖家几百个品牌,Amazon,"asin=""B0CK2NMDZS""",-,b0ck2nmdzs,1,1,1,0.45,0.45,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/27,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B0CNJVM364""",-,b0cnjvm364,1669,5,0.002995806,1.05,5.25,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/11,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B00V8ZWJIM""",-,b00v8zwjim,11,1,0.090909091,0.6,0.6,25.99,2.31%,43.32,1,1,1,0,1,0,25.99
2025-05-07,2025/5/7,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B00Z36NTCW""",-,b00z36ntcw,6,2,0.333333333,0.31,0.62,15.19,4.08%,24.5,1,1,0.5,1,0,15.19,0
2025-05-05,2025/5/22,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B07DPMLM47""",-,b07dpmlm47,107,4,0.037383178,0.8775,3.51,0,,0,0,0,0,0,0,0,0
2025-04-30,2025/5/25,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B077V1DYCS""",-,b077v1dycs,912,12,0.013157895,0.681666667,8.18,18.88,43.33%,2.31,1,1,0.083333333,1,0,18.88,0
2025-05-21,2025/5/21,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B00ZKQBTBI""",-,b00zkqbtbi,7,1,0.142857143,0.6,0.6,18.88,3.18%,31.47,1,1,1,1,0,18.88,0
2025-05-04,2025/5/26,Carpet CCS5C,USD,Carpet CCS5C Product targeting main,USA real extractor attachments,Amazon,"asin=""B0D9KRQZLM""",-,b0d9krqzlm,32,3,0.09375,0.45,1.35,0,,0,0,0,0,0,0,0,0
2025-05-22,2025/5/26,Carpet CCS5C,USD,Carpet CCS5C Producting Shop Vac Machine,Vacmaster,Amazon,"asin=""B09T3W8VSY""",-,b09t3w8vsy,62,2,0.032258065,0.305,0.61,25.99,2.35%,42.61,1,1,0.5,0,1,0,25.99
